occ,recs
production manager                 ,3315
transportation                     ,3307
estimator                          ,3296
account executive                  ,3284
quality control                    ,3249
nanny                              ,3239
owner                              ,3198
seamstress                         ,3192
real estate sales                  ,3190
aircraft mechanic                  ,3174
editor                             ,3165
psychologist                       ,3152
general work                       ,3143
superintendent                     ,3130
lab technician                     ,3122
day care provider                  ,3120
travel agent                       ,3116
principal                          ,3112
helper                             ,3092
claims adjuster                    ,3041
house keeper                       ,3039
phlebotomist                       ,3032
mother                             ,3022
graphic artist                     ,3008
investor                           ,3003
information technology             ,3001
lvn                                ,2978
forklift operator                  ,2964
postal clerk                       ,2961
medical biller                     ,2956
tax preparer                       ,2945
personal trainer                   ,2938
financial advisor                  ,2934
house keeping                      ,2905
paramedic                          ,2903
shipping                           ,2900
civil service                      ,2895
researcher                         ,2887
auto mechanic                      ,2865
home health care                   ,2858
professional                       ,2852
unemployment                       ,2848
it consultant                      ,2845
medical billing                    ,2837
lineman                            ,2837
office mgr                         ,2813
home                               ,2803
retire                             ,2799
web developer                      ,2794
provider                           ,2786
forklift driver                    ,2778
product manager                    ,2775
full time student                  ,2754
optician                           ,2737
store clerk                        ,2733
food server                        ,2726
investigator                       ,2724
meat cutter                        ,2694
pipefitter                         ,2680
nurse practitioner                 ,2679
barista                            ,2677
vice president                     ,2676
probation officer                  ,2651
office administrator               ,2649
dentist                            ,2646
army                               ,2621
day care                           ,2610
correction officer                 ,2565
accounts payable                   ,2557
finance manager                    ,2548
medical asst                       ,2545
branch manager                     ,2544
retail management                  ,2539
hr manager                         ,2534
speech pathologist                 ,2524
child                              ,2510
florist                            ,2496
home care                          ,2494
truckdriver                        ,2492
emt                                ,2492
s/e                                ,2485
reg nurse                          ,2484
tech support                       ,2483
purchasing agent                   ,2480
maintenance worker                 ,2454
plant manager                      ,2449
computer consultant                ,2418
collector                          ,2409
pca                                ,2408
accounting manager                 ,2400
network administrator              ,2390
personal banker                    ,2390
graduate student                   ,2382
planner                            ,2379
self employeed                     ,2377
x                                  ,2340
mgr                                ,2337
se                                 ,2329
collections                        ,2329
it professional                    ,2316
gardener                           ,2309
executive director                 ,2301
computer analyst                   ,2289
deli clerk                         ,2286
trucking                           ,2276
physician assistant                ,2275
team leader                        ,2272
navy                               ,2272
sales consultant                   ,2271
maintance                          ,2261
shipping clerk                     ,2253
farmer                             ,2252
auto technician                    ,2243
interior designer                  ,2239
maintenance supervisor             ,2236
stock clerk                        ,2227
district manager                   ,2218
childcare provider                 ,2216
clergy                             ,2210
missionary                         ,2210
fire fighter                       ,2209
cab driver                         ,2188
nurse assistant                    ,2185
independent contractor             ,2183
soldier                            ,2169
computer engineer                  ,2159
teachers aid                       ,2157
lawn care                          ,2153
tutor                              ,2140
millwright                         ,2117
inside sales                       ,2107
real estate broker                 ,2101
entertainer                        ,2100
chiropractor                       ,2095
auto tech                          ,2094
purchasing                         ,2085
greeter                            ,2080
house cleaning                     ,2079
press operator                     ,2071
maintenance tech                   ,2050
systems administrator              ,2045
coach                              ,2045
landscape                          ,2044
cabinet maker                      ,2040
school counselor                   ,2036
loan processor                     ,2027
programmer analyst                 ,2015
draftsman                          ,2011
system analyst                     ,2009
self employee                      ,2007
aide                               ,2004
semi retired                       ,1998
actor                              ,1989
medical secretary                  ,1988
packing                            ,1981
administrative assis               ,1980
technical writer                   ,1976
porter                             ,1976
state employee                     ,1975
program director                   ,1958
grocery clerk                      ,1955
hvac                               ,1954
public relations                   ,1949
hospitality                        ,1943
electronic tech                    ,1936
computer operator                  ,1913
teachers assistant                 ,1913
home health                        ,1908
mason                              ,1906
misc                               ,1905
advertising                        ,1903
service rep                        ,1903
sales assoc                        ,1886
home health aid                    ,1884
web designer                       ,1876
dietary aide                       ,1873
project coordinator                ,1872
farm labor                         ,1871
data analyst                       ,1869
fireman                            ,1869
biologist                          ,1869
college professor                  ,1866
geologist                          ,1865
graphic design                     ,1863
veterinarian                       ,1856
nurses aide                        ,1856
dealer                             ,1855
pipe fitter                        ,1852
bank manager                       ,1846
doctor                             ,1846
journalist                         ,1844
research scientist                 ,1842
program coordinator                ,1841
semi-retired                       ,1839
general contractor                 ,1833
engineering manager                ,1825
business                           ,1824
dental asst                        ,1818
nail technician                    ,1818
telecommunications                 ,1818
software consultant                ,1816
loader                             ,1814
at home                            ,1812
president                          ,1778
case worker                        ,1777
technical support                  ,1767
appraiser                          ,1759
producer                           ,1759
house cleaner                      ,1755
marketing director                 ,1754
bus operator                       ,1753
electronic technician              ,1753
iron worker                        ,1751
surgical tech                      ,1742
work                               ,1738
processor                          ,1737
medical transcriptionist           ,1736
purchasing manager                 ,1732
billing clerk                      ,1730
machinest                          ,1725
sub teacher                        ,1723
logistics                          ,1722
medical records                    ,1717
quality assurance                  ,1716
corrections                        ,1714
government                         ,1712
parts manager                      ,1712
fast food                          ,1700
staff                              ,1699
services                           ,1696
system administrator               ,1688
warehouse supervisor               ,1688
food services                      ,1684
insurance adjuster                 ,1678
service advisor                    ,1672
program analyst                    ,1672
surveyor                           ,1668
vet tech                           ,1665
staff accountant                   ,1662
admin assist                       ,1653
sales engineer                     ,1650
communications                     ,1648
customer services                  ,1637
sheet metal worker                 ,1608
pressman                           ,1604
heavy equipment operator           ,1604
maintenance mechanic               ,1597
fabricator                         ,1596
construction manager               ,1596
social work                        ,1594
crane operator                     ,1581
project engineer                   ,1579
retired/disabled                   ,1573
mom                                ,1571
customer servic                    ,1570
speech therapist                   ,1569
cosmotologist                      ,1567
engineering                        ,1564
computer specialist                ,1560
butcher                            ,1556
